date,unit_sales
2017-06-01,10.0
2017-06-02,12.0
2017-06-03,9.0
2017-06-04,8.0
2017-06-05,10.0
2017-06-06,12.0
2017-06-07,13.0
2017-06-08,7.0
2017-06-09,13.0
2017-06-10,16.0
2017-06-11,20.0
2017-06-12,17.0
2017-06-13,14.0
2017-06-14,11.0
2017-06-15,9.0
2017-06-16,11.0
2017-06-17,22.0
2017-06-18,16.0
2017-06-19,8.0
2017-06-20,14.0
2017-06-21,6.0
2017-06-22,4.0
2017-06-23,12.0
2017-06-24,15.0
2017-06-25,19.0
2017-06-26,17.0
2017-06-27,10.0
2017-06-28,9.0
2017-06-29,8.0
2017-06-30,10.0
2017-07-01,19.0
2017-07-02,25.0
2017-07-03,5.0
2017-07-04,11.0
2017-07-05,10.0
2017-07-06,16.0
2017-07-07,15.0
2017-07-08,15.0
2017-07-09,15.0
2017-07-10,7.0
2017-07-11,9.0
2017-07-12,10.0
2017-07-13,8.0
2017-07-14,10.0
2017-07-15,16.0
2017-07-16,12.0
2017-07-17,6.0
2017-07-18,13.0
2017-07-19,13.0
2017-07-20,12.0
2017-07-21,9.0
2017-07-22,12.0
2017-07-23,11.0
2017-07-24,11.0
2017-07-25,12.0
2017-07-26,10.0
2017-07-27,11.0
2017-07-28,11.0
2017-07-29,17.0
2017-07-30,11.0
2017-07-31,12.0
